Title;Release Year;Locations;Fun Facts;Production Company;Distributor;Director;Writer;Actor 1;Actor 2;Actor 3
Blue Jasmine;2013;SFO International Airport Terminal 3;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;2178 Palou Ave.;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Knife Fight;2013;Green & Laguna Streets;;Divisadero Pictures & Knife Fight;Eagle Films;Bill Guttentag;Bill Guttentag & Chris Lehane;Rob Lowe;Julie Bowen;Jamie Chung
Knife Fight;2013;California & Hyde Streets;;Divisadero Pictures & Knife Fight;Eagle Films;Bill Guttentag;Bill Guttentag & Chris Lehane;Rob Lowe;Julie Bowen;Jamie Chung
Knife Fight;2013;City Hall;;Divisadero Pictures & Knife Fight;Eagle Films;Bill Guttentag;Bill Guttentag & Chris Lehane;Rob Lowe;Julie Bowen;Jamie Chung
Red Widow;2013;York & 24th St.;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;2nd St & Howard;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;Montgomery & Market Streets;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;Broadway & Taylor;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;Mason & Sacramento St;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;Geary & 27th Ave;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;Geary & 20th Ave;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;Pioneer Park at Coit Tower;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;Vallejo Street Garage;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;California & Davis St;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
Red Widow;2013;Golden Gate Ave & Jones;;Beyond Pix;American Broadcasting Company (ABC);Alon Aranya;Melissa Rosenberg;Radha Mitchell;Sterling Beaumon;Clifton Collins Jr.
The Internship;2013;Grant Ave from Sacramento to Clay;;Twentieth Century Fox Film Corp.;Twentieth Century Fox Film Corporation;Shawn Levy;Vince Vaughn;Vince Vaughn;Owen Wilson;Rose Byrne
The Internship;2013;Montgomery and Union St.;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Shawn Levy;Vince Vaughn;Vince Vaughn;Owen Wilson;Rose Byrne
The Internship;2013;Epic Roasthouse;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Shawn Levy;Vince Vaughn;Vince Vaughn;Owen Wilson;Rose Byrne
The Internship;2013;Players Arcade at Pier 39;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Shawn Levy;Vince Vaughn;Vince Vaughn;Owen Wilson;Rose Byrne
About a Boy;2014;Broderick from Fulton to McAlister;;NBC Studios;National Broadcasting Company;Mark J. Kunerth;Jason Katims;David Walton;Minnie Driver;
About a Boy;2014;Crissy Field;;NBC Studios;National Broadcasting Company;Mark J. Kunerth;Jason Katims;David Walton;Minnie Driver;
About a Boy;2014;Powell from Bush and Sutter;;NBC Studios;National Broadcasting Company;Mark J. Kunerth;Jason Katims;David Walton;Minnie Driver;
Big Eyes;2014;Nobles Alley;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Big Eyes;2014;Caffe Trieste;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Big Eyes;2014;Palace of Fine Arts;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Big Eyes;2014;1101 Filbert St.;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Big Eyes;2014;Saints Peter & Paul Church;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Big Eyes;2014;Green St. & Grant Ave.;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Big Eyes;2014;Filbert St. & Leavenworth;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Big Eyes;2014;Pine St. & Grant;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Big Eyes;2014;Way Faire Inn on Leidesdorff;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Big Eyes;2014;Harry's Bar on Fillmore;;Blink & Wink Productions;Weinstein Company;Tim Burton;Scott Alexander;Amy Adams;Krysten Ritter;Christoph Waltz
Dawn of the Planet of the Apes;2014;University Club;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis
Dawn of the Planet of the Apes;2014;Filbert St. from Hyde to Leavenworth;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis
Dawn of the Planet of the Apes;2014;California St from Mason to Kearny;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis
Dawn of the Planet of the Apes;2014;City Hall;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis
Dawn of the Planet of the Apes;2014;Alioto Park;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis
Dawn of the Planet of the Apes;2014;California & Powell;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis
Dawn of the Planet of the Apes;2014;Columbus & Pacific Ave;;Fox Louisiana Productions, LLC;Twentieth Century Fox;Matt Reeves;Rick Jaffa;Gary Oldman;Keri Russell;Andy Serkis
Godzilla;2014;Kearney & Pine St.;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;California & Davis St;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Pine St. & Davis St;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Sacramento & Front St.;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Broadway & Sansome;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Broadway & Columbus;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Post & Jones St.;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Stockton & Clay St;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Bush & Kearny;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Mission & Fremont St;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Eddy & Taylor St.;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Pier 7 (The Embarcadero);;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Pier 1;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Embarcadero & Washington;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Mission & Beal;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Godzilla;2014;Potrero &San Bruno;;Nautilus Productions, LLC;Warner Bros. Pictures;Gareth Edwards;Max Borenstein;Aaron Taylor-Johnson;Elizabeth Olsen;Bryan Cranston
Looking;2014;222 Mason St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Golden Gate Bridge;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Presidio Church at 130 Fisher Loop;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Tiburon Hiking Trail, Tiburon, CA;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Fort Funston;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Folsom Street Fair on Folsom St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Orphan Andy's;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;The Stud;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Mr. S Leather;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;2866 24th St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;24th and Church St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Church and Duboce Muni Station;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;St. Francis Fountain;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Muni line N- Judah;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Sutro Baths;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Golden Gate Park;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Market & Church St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Willy's Barber Shop;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Jawbone at 99 Rhode Island St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Urban Flowers;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;770 Haight St;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Eros;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Doc's Clock;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Starbucks at 333 O'Farrell St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Union Square;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;The Café at 2369 Market St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Castro St. from Market to 18th St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Bay Bridge;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Treasure Island;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;The Fairmont;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;1890 Clay St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;2000 Folsom;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Mission Arts Center;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;2413 Harrison St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Muddy Waters Coffee House;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Valencia St. from 16th to 17th;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;601 Buena Vista West;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Dolores Park;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Casa Lucas Market at 2934 24th St;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;Punjab;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Looking;2014;BART from Civic Center to 24th St.;;Mission Street Productions, LLC;Home Box Office (HBO);Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie J. Alvarez;Murray Bartlett
Love & Taxes;2014;The Marsh Theatre (1062 Valencia Street);;Bad Company Films;;Jacob Kornbluth;Jacob Kornbluth;Jacob Kornbluth;;
Love & Taxes;2014;20 Hill Street;;Bad Company Films;;Jacob Kornbluth;Jacob Kornbluth;Jacob Kornbluth;;
Love & Taxes;2014;198 Gough Street;;Bad Company Films;;Jacob Kornbluth;Jacob Kornbluth;Jacob Kornbluth;;
Murder in the First, Season 1;2014;1821 Alabama Street;;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;Hall of Justice (850 Bryant Street);;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;Cameron House (920 Sacramento Street);;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;504 Broadway;;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;9 Calhoun Terrace;;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;AT&T Park;;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;Berry Street between 3rd and 4th Streets;;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;Kearny Street between Broadway and Pacific Avenue;;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;731 Grant Avenue;;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;Waverly Alley between Grant and Sacramento Streets;;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;Joice Street at Clay Street;;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
Murder in the First, Season 1;2014;Palace of Fine Arts (3301 Lyon Street);;Turner North Center Productions;Turner Network Television (TNT);Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale
